BOOK_1753535409141,USER_1753535340207,Sahel Shrestha,sahelstha2061@gmail.com,324567890-,ATTR_1753532839103,Chitwan National Park,GUIDE_1753716133006,Preity Maharjan,2025-07-27,2025-07-28,,3200.0,Confirmed,2025-07-26T18:55:09.141536
BOOK_1753535430040,USER_1753535340207,Sahel Shrestha,sahelstha2061@gmail.com,8672343456,ATTR_1753532839103,Pokhara Paragliding,,,2025-07-27,2025-07-28,,2520.0,Confirmed,2025-07-26T18:55:30.040895
BOOK_1753538808318,USER_1753538792135,end,end123@gmail.com,6543456543,ATTR_1753532839103,Kathmandu Durbar Square,GUIDE_1753716133008,Karnika Shrestha,2025-07-27,2025-07-28,,2020.0,Confirmed,2025-07-26T19:51:48.319433
BOOK_1753541239609,USER_1753541104340,sahel,sahel@11gmail.com,43212343,ATTR_1753532839103,Kathmandu Durbar Square,,,2025-07-27,2025-07-28,,2020.0,Cancelled - Attraction Removed,2025-07-26T20:32:19.609784
BOOK_1753542078381,USER_1753539721988,end,end@123gmail.com,988738192,ATTR_1753532839103,Kathmandu Durbar Square,GUIDE_1753716133010,Rupa KC,2025-07-27,2025-07-28,,2020.0,Confirmed,2025-07-26T20:46:18.382458
BOOK_1753542547601,USER_1753542503216,samip,samip123@gmail.com,121213123,ATTR_1753532839103,Kathmandu Durbar Square,,,2025-07-27,2025-07-28,,2020.0,Cancelled - Attraction Removed,2025-07-26T20:54:07.601979
BOOK_1753583026989,USER_1753541104340,sahel,sahel@11gmail.com,1234567890,ATTR_1753532839103,Kathmandu Durbar Square,,,2025-07-28,2025-07-29,,2020.0,Cancelled - Attraction Removed,2025-07-27T08:08:46.990296
BOOK_1753586238124,USER_1753586195724,Nipun,nipun@123gmail.com,986986986,ATTR_1753532839103,Kathmandu Durbar Square,GUIDE_1753716133012,Puja Maharjan,2025-09-20,2025-09-21,,1616.0,Confirmed,2025-07-27T09:02:18.125070
BOOK_1753590533470,USER_1753590428692,Rukesh Shrestha,rukesh@gmail.com,985676776,ATTR_1753532839103,Chitwan National Park,GUIDE_1753716133011,Laxman Sunar,2025-09-20,2025-09-30,,14080.0,Confirmed,2025-07-27T10:13:53.470622
BOOK_1753622570447,USER_1753541104340,sahel,sahel@11gmail.com,543245654,ATTR_1753532839103,Kathmandu Durbar Square,,,2025-07-28,2025-07-29,qwqw,2020.0,Cancelled - Attraction Removed,2025-07-27T19:07:50.448589
BOOK_1753625446550,USER_1753541104340,sahel,sahel@11gmail.com,9876543456,ATTR_1753532839103,Kathmandu Durbar Square,,,2025-07-28,2025-07-29,dfghjgd,2020.0,Cancelled - Attraction Removed,2025-07-27T19:55:46.551453
BOOK_1753701890317,USER_1753541104340,sahel,sahel@11gmail.com,654738290,ATT_1753692078183,ffas,,,2025-07-29,2025-07-30,hdjfks,2424.0,Cancelled - Attraction Removed,2025-07-28T17:09:50.318518
BOOK_1753716556882,USER_1753716532047,Prasanna Bajracharya,prasanna@12gmail.com,9872736171,ATT_1753710490475,Poon Hill Trek,,,2025-07-29,2025-07-30,dhelloo,198.0,Pending,2025-07-28T21:14:16.883630
BOOK_1753716585365,USER_1753716532047,Prasanna Bajracharya,prasanna@12gmail.com,987897789,ATT_1753709576458,Pokhara,GUIDE_1753716133012,Puja Maharjan,2025-09-20,2025-09-21,,142.4,Confirmed,2025-07-28T21:14:45.365724
BOOK_1753716617381,USER_1753716532047,Prasanna Bajracharya,prasanna@12gmail.com,99823178,ATT_1753715263104,White Water Rafting – Trishuli River,,,2025-07-29,2025-07-30,,90.0,Cancelled,2025-07-28T21:15:17.382008
BOOK_1753716686565,USER_1753716678844,Priety,prieety123@gmail.com,987654345,ATT_1753709131460,Kathmandu Valley,,,2025-07-29,2025-07-30,,200.0,Pending,2025-07-28T21:16:26.565697
BOOK_1753716694998,USER_1753716678844,Priety,prieety123@gmail.com,9876543456,ATT_1753710018358,Annapurna Base Camp (ABC) Trek,,,2025-07-29,2025-07-30,,318.0,Pending,2025-07-28T21:16:34.998542
BOOK_1753716752564,USER_1753716744127,Karnika,karnika123@gmail.com,98767893267,ATT_1753709576458,Pokhara,,,2025-07-29,2025-07-30,,178.0,Pending,2025-07-28T21:17:32.565011
BOOK_1753716770598,USER_1753716744127,Karnika,karnika123@gmail.com,9876789876,ATT_1753715566941,Manaslu,,,2025-07-29,2025-07-30,skja,600.0,Pending,2025-07-28T21:17:50.598532
