GUIDE_1753716133002,Sahel Shrestha,Nepali,15,9869221708,Trekking,5.0,Active
GUIDE_1753716133003,Anish Gurung,Nepali,12,9851234567,Mountain Climbing,4.8,Active
GUIDE_1753716133004,Nipun Manandhar,Nepali|English,10,9841239876,Cultural Tours,4.5,Active
GUIDE_1753716133005,Prasanna Harsha Bajracharya,Nepali,8,9801122334,Trekking,4.2,Inactive
GUIDE_1753716133006,Preity Maharjan,Nepali|English|Hindi,9,9812233445,Himalayan Wildlife,4.9,Active
GUIDE_1753716133007,Kamal Shrestha,Nepali,6,9845567890,City Tours,4.3,Active
GUIDE_1753716133008,Karnika Shrestha,Nepali|Hindi,7,9803344556,Pilgrimage Tours,4.7,Active
GUIDE_1753716133009,Niraj Bhujel,Nepali|English,11,9867891234,Trekking,5.0,Active
GUIDE_1753716133010,Rupa KC,Nepali,5,9847894561,Cultural Tours,4.1,Active
GUIDE_1753716133011,Laxman Sunar,Nepali,13,9807788990,Adventure Sports,4.6,Active
GUIDE_1753716133012,Puja Maharjan,Nepali|English,14,9816677885,Hiking,4.4,Active
GUIDE_1753716133013,Bibek Rawat,Nepali,4,9865543321,Bird Watching,4.0,Inactive
GUIDE_1753716133014,Sarita Basnet,Nepali|English,10,9856677889,Heritage Sites,4.8,Active
GUIDE_1753716133015,Suraj Khadka,Nepali|Hindi,6,9840011223,Religious Sites,4.2,Active
GUIDE_1753716133016,Apsara Karki,Nepali,3,9819988776,Cultural Tours,4.1,Active
GUIDE_1753716133017,Dinesh Rai,Nepali|English,9,9863344552,Trekking,4.9,Active
GUIDE_1753716133018,Kushal Thapa,Nepali,8,9809988776,Mountain Climbing,4.5,Active
GUIDE_1753716133019,Pramila Nepali,Nepali,7,9811223344,City Tours,4.3,Active
GUIDE_1753716133020,Sunil Ghimire,Nepali|English|Chinese,12,9854432211,Multi-language Tours,4.6,Active
GUIDE_1753716133021,Rajesh Magar,Nepali|English,10,9862233445,Trekking,5.0,Active
